TIPO DE BUSCA: BR, Quantidade de amostras analisadas:50

Quantidade de Elementos  ,  TEMPO(ns)  
                  20539,          301  
                  41078,          317  
                  61617,          315  
                  82156,          346  
                 102695,          360  
                 123234,          348  
                 143773,          355  
                 164312,          357  
                 184851,          356  
                 205390,          357  
                 225929,          353  
                 246468,          353  
                 267007,          382  
                 287546,          383  
                 308085,          390  
                 328624,          362  
                 349163,          363  
                 369702,          309  
                 390241,          290  
                 410780,          287  
                 431319,          341  
                 451858,          364  
                 472397,          375  
                 492936,          285  
                 513475,          298  
                 534014,          324  
                 554553,          290  
                 575092,          291  
                 595631,          288  
                 616170,          343  
                 636709,          374  
                 657248,          428  
                 677787,          284  
                 698326,          284  
                 718865,          307  
                 739404,          283  
                 759943,          284  
                 780482,          302  
                 801021,          477  
                 821560,         8642  
                 842099,          374  
                 862638,          276  
                 883177,          275  
                 903716,          274  
                 924255,          289  
                 944794,          321  
                 965333,          356  
                 985872,          468  
                1006411,          359  
                1026950,          265  
