TIPO DE BUSCA: LN, Quantidade de amostras analisadas:50

Quantidade de Elementos  ,  TEMPO(ns)  
                  20539,        52794  
                  41078,       220021  
                  61617,       177192  
                  82156,       238769  
                 102695,      1916720  
                 123234,       349616  
                 143773,       425444  
                 164312,       461683  
                 184851,       541888  
                 205390,       572479  
                 225929,       684036  
                 246468,      1186425  
                 267007,       801055  
                 287546,       849097  
                 308085,      2621603  
                 328624,      1087358  
                 349163,      1964845  
                 369702,      1607856  
                 390241,      1223660  
                 410780,      1404305  
                 431319,      2137067  
                 451858,      1635741  
                 472397,      1518988  
                 492936,      1783214  
                 513475,      1463245  
                 534014,      1589063  
                 554553,      2800996  
                 575092,      1865509  
                 595631,      2018525  
                 616170,      2351569  
                 636709,      1633237  
                 657248,      2091840  
                 677787,      2267738  
                 698326,      2096598  
                 718865,      1836176  
                 739404,      2714909  
                 759943,      2330416  
                 780482,      2641108  
                 801021,      2155541  
                 821560,      3145898  
                 842099,      2150658  
                 862638,      3030052  
                 883177,      2239977  
                 903716,      3002792  
                 924255,      2401307  
                 944794,      3253561  
                 965333,      2685243  
                 985872,      2983554  
                1006411,      2464383  
                1026950,      3225434  
