TIPO DE BUSCA: JS, Quantidade de amostras analisadas:50

Quantidade de Elementos  ,  TEMPO(ns)  
                  20539,          794  
                  41078,         1085  
                  61617,         1337  
                  82156,         1674  
                 102695,         2304  
                 123234,         2202  
                 143773,         2413  
                 164312,         2611  
                 184851,         2790  
                 205390,         3158  
                 225929,         3442  
                 246468,         3501  
                 267007,         4220  
                 287546,         5429  
                 308085,         6269  
                 328624,         6062  
                 349163,         7232  
                 369702,         7796  
                 390241,         9244  
                 410780,         9860  
                 431319,         8782  
                 451858,         7019  
                 472397,         8227  
                 492936,         9395  
                 513475,         8358  
                 534014,         9261  
                 554553,         8608  
                 575092,        10472  
                 595631,         9468  
                 616170,        10103  
                 636709,         9884  
                 657248,        10620  
                 677787,        10347  
                 698326,        33623  
                 718865,        10335  
                 739404,        10645  
                 759943,        10675  
                 780482,        10882  
                 801021,        10762  
                 821560,        10392  
                 842099,        11321  
                 862638,        11814  
                 883177,        11571  
                 903716,        11224  
                 924255,        63293  
                 944794,        53226  
                 965333,        86415  
                 985872,        58585  
                1006411,        48376  
                1026950,        11902  
