TIPO DE BUSCA: TI, Quantidade de amostras analisadas:50

Quantidade de Elementos  ,  TEMPO(ns)  
                  20539,          249  
                  41078,          287  
                  61617,          283  
                  82156,          264  
                 102695,          282  
                 123234,          297  
                 143773,          293  
                 164312,          296  
                 184851,          288  
                 205390,          304  
                 225929,          288  
                 246468,          286  
                 267007,          319  
                 287546,          315  
                 308085,          302  
                 328624,          296  
                 349163,          321  
                 369702,          282  
                 390241,          317  
                 410780,          278  
                 431319,         6680  
                 451858,          295  
                 472397,          295  
                 492936,          285  
                 513475,          290  
                 534014,          282  
                 554553,          290  
                 575092,          276  
                 595631,          233  
                 616170,          213  
                 636709,          226  
                 657248,          214  
                 677787,          221  
                 698326,          208  
                 718865,          222  
                 739404,          228  
                 759943,          219  
                 780482,          204  
                 801021,          218  
                 821560,          227  
                 842099,          214  
                 862638,          239  
                 883177,          214  
                 903716,          223  
                 924255,          210  
                 944794,          422  
                 965333,          214  
                 985872,          220  
                1006411,          207  
                1026950,          220  
